Campus,Título, Nome Coordenador, 
Almenara,Desenvolvimento de método analítico para determinação de elementos inorgânicos em amostras de água do Rio Jequitinhonha,Ednilton Moreira Gama,
Almenara,Aprimorar é preciso: Pesquisa de percepção sobre a qualidade do evento de simulação da ONU IFMUNDO no IFNMG Campus Almenara.,Alfredo Costa,
Almenara,Produção de guias de estudo para o modelo de simulação da ONU (IFMUNDO),Regina Mendes de Araújo,
Almenara,Avaliação Gerencial em Administração Pública: Análise da Gestão em Saúde no Consórcio Intermunicipal Multifinalitário do Baixo Jequitinhonha – CIMBAJE – sob os parâmetros do Modelo de Excelência em Gestão Pública (MEGP),Dayane Patrícia Cunha de França,
Almenara,Análise do Perfil Epidomiologia da Hanseníase no Vale do Jequitinhonha – Minas Gerais (MG),Leila Conceição de Paula Miranda,
Almenara,Entomofauna da Graviola Associado ao Cultivo em Sistema Exclusivo ou Consorciado nas Condições de Almenara – MG,José Maria Gomes Neves,
Almenara,Geografia História e Memória: As Paisagens nas Músicas do Baixo Jequitinhonha,Alfredo Costa,
Almenara,Observatório dos Desastres na Mineração: Plataforma Digital Colaborativa Para Educação Ambiental,Alfredo Costa,
Almenara,Análise de Viabilidade Econômica na Construção de uma Fábrica de Farinha e Fécula de Mandioca,Luiz Célio Souza Rocha,
Almenara,Análise da Qualidade da água para Consumo em Escolas Públicas nos Municípios de Almenara- MG e Jequitinhonha- MG,Roberta Pereira Matos,
Almenara,Ordenha Sustentável: Aplicação da Ordenha Sustentável e Bioeconômica em Propriedades Rurais na Microrregião de Almenara-MG,Paulo Eduardo Ferreira dos Santos,
Almenara,Planejamento Estratégico: Um Estudo de Caso em uma Empresa do Setor Alimentício em Jequitinhonha  MG,Emanuelly Alves Pelogio,
Almenara,Solanáceas Silvestres como Porta Enxerto para Cultivo de Tomate em Áreas Contaminadas com Meloidogyne incognita,Edimilson Alves Barbosa,
Almenara,Potencial de Produção de Biogás com Diferentes Resíduos e Aproveitamento do Biofertilizante para Fertirrigação,Raiane Ferreira de Miranda,
Almenara,Avaliação do Feijão Comum em Resposta a Aplicação de Silício,Raiane Ferreira de Miranda,
Almenara,Avaliação do Milheto (Penissetum glaucum L. Brown ) Submetido a Diferentes Doses de Manganês,Raiane Ferreira de Miranda,
Almenara,Avaliação do Desenvolvimento de Cultivares de Sorgo Granífero Cultivado Sob Déficit Hídrico e Doses de Silício,Raiane Ferreira de Miranda,
Almenara,"Implatação de um Sistema Web de Auxílio Gerencial e Aplicativo Mediador Cliente- Atelie, no Atelie Lafira Modas",Marcos Vinícius Montanari,
Almenara,Sistema de Gestão Documental do Estágio para o Instituto Federal do Norte de Minas Gerais Campus Almenara,Marcos Vinícius Montanari,
Almenara,Uaifood: Análise do Serviço de Pedidos e Delivery para Almenara,Marcos Vinícius Montanari,
Almenara,Ferramenta Educacional Virtual: Uma possibilidade para o Ensino Básico e Tecnólogico,Pablo Castro Antunes Silva,
