Tipo de Evento,Descrição Sumária do Evento,Campus
Exposição e Feira,Festa da Mandioca cujo o principal objetivo é divulgar e fortalecer a cultura da mandioca no município e região.,Almenara
Cursos FIC,Curso para Agente Comunitário de Saúde,Almenara
Cursos Celin,Curso de Inglês,Almenara
Cursos Celin,Curso de Espanhol,Almenara
Cursos Curta duração,Curso de Robótica criativa com Scratch e Arduino,Almenara
Cursos Curta duração,Curso de Robótica e Programação com Mixly,Almenara
Cursos Curta duração,Curso de Introdução à Informática e Conceitos de Programação para Jovens e Adultos,Almenara
Ciclo de debates,"Roda de Conversa Povos e Comunidades Tradicionais: Território, Identidade e Cultura",Araçuaí
Ciclo de debates,"Ciclo de Conversas com os Mestres: Lira Marques, Ulisses Mendes, Mestre Antônio, João do Cipó, Roda de Saberes",Araçuaí
Ciclo de debates,"08 encontros - ""Conversas com Lori Figueiró"" ",Araçuaí
Cursos Celin,Curso de Introdução à Língua Brasileira de Sinais (LIBRAS),Araçuaí
Exposição e Feira,Exposição História da Cultura dos Povos Indígenas - Visando oportunizar atividades voltadas para a educação das relações étnico-raciais e da História dos Povos Indígenas,Araçuaí
Exposição e Feira,Sabão Ecológico- Produção de sabão com óleo usado.,Araçuaí
Exposição e Feira,Compostagem doméstica e composto orgânico. - A Exposição foi realizada no IFNMG.,Araçuaí
Exposição e Feira,I Feira de Troca de Mudas e Sementes de Plantas Medicinais e PANCs.,Araçuaí
Evento esportivo,Jogos Internos do IFNMG - Campus Araçuaí,Araçuaí
Oficina,Oficina de Reciclagem de Papel e Produção de Tintas de Terra,Araçuaí
Oficina,Oficina de tratamento de efluentes domésticos,Araçuaí
Oficina,Oficina de Direitos dos Povos e Comunidades Tradicionais - Araçuaí e região,Araçuaí
Oficina,Oficina Devolutiva do projeto Mapeamento dos Povos e Comunidades Tradicionais de Minas Gerais realizada em Virgem da Lapa/MG,Araçuaí
Oficina,Oficina Devolutiva do projeto Mapeamento dos Povos e Comun. Tradicionais de MG realizada em Berilo/MG.,Araçuaí
Oficina,Oficina sobre produção de sabão com óleo de cozinha usado,Araçuaí
Oficina,Oficina de tratamento alternativo de água para consumo humano,Araçuaí
Gincana,Gincana Solidária: Arrecadação de alimentos para serem doados às instituições da cidade e famílias de baixa renda,Araçuaí
Festival,"Batalha do Kiau: cultura Hip Hop - Batalha de Rap,na qual MC's duelam com rimas improvisadas sobre temáticas diversas",Araçuaí
Festival,"Projeto Literartes: Uma proposta que possibilita a  construção do conhecimento dos objetos literários, culturais e artísticos  ",Araçuaí
Festival,"Festival Intercampi de Culturas (etapa local) - constitui-se numa mostra intercampi de arte, cultura e suas tecnologias do IFNMG",Araçuaí
Cursos FIC,Agente de Saneamento Básico Rural,Araçuaí
Cursos FIC,Agricultor Orgânico,Araçuaí
Cursos FIC,Teoria e Prática na Elaboração de SIG com QGIS,Araçuaí
Cursos FIC,Projeto Introdução à Suíte de Aplicativos de Escritório LibreOffice,Araçuaí
Cursos FIC,O Vale do Jequitinhonha: dinâmicas de expropriação e exploração e a constituição de territórios de luta e resistência,Araçuaí
Cursos FIC,Montagem e Manutenção de Computadores,Araçuaí
Consultoria/Assessoria,Assessoria na execução de projetos culturais para os Tamborzeiros do Rosário de Araçuaí/MG,Araçuaí
Consultoria/Assessoria,Assessoria na execução de projetos culturais para o Centro de Cultura Memorial do Vale,Araçuaí
Consultoria/Assessoria,Assessoria na execução  de projetos culturais para o Museu de Araçuaí,Araçuaí
Mostra,Percepções culturais: estudos sobre Frei Xico e Lira.  Programação do literartes no IFNMG 2019,Araçuaí
Espetáculo,Desfile cívico em comemoração ao aniversário de Araçuaí,Araçuaí
Palestra e Mesa Redonda,"Lixo Eletrônico, Sustentabilidade e Cidadania No Vale do Jequitinhonha - palestra de conscientização para coleta, a seleção e o descarte correto do lixo eletrônico",Araçuaí
Palestra e Mesa Redonda,O Núcleo de Estudos e Pesquisas Rurais - NEPRU - juntamente com Núcleo de Agroecologia do IFNMG - Campus Araçuaí Promoveram nos dias 17 e 18 de setembro,Araçuaí
,de 2019 o III Encontro do NEPRU e o I Fórum de Educação do Campo do IFNMG,Araçuaí
Palestra e Mesa Redonda,Palestra para capacitação de Multiplicadores de Tecnologias Sociais para Saneamento Básico Rural,Araçuaí
Palestra e Mesa Redonda,"PALESTRA - ""Os museus como espaços de pesquisa, comunicação e ação"", com Tatiana Sena (IFMNG/Araçuaí). 13? Primavera dos Museus - Museu de Araçuaí",Araçuaí
Palestra e Mesa Redonda,"Palestra sobre ""Conscientização ambiental e reaproveitamento de resíduos"", ministrada pelo professor Kaíque Cardoso",Araçuaí
Seminário,Semana da Administração - contou com palestras e apresentações de trabalho sobre temáticas pertinentes à Administração,Araçuaí
Seminário,"DM Conect - Encontro de Empresários, Colaboradores e Acadêmicos da Administração",Araçuaí
Seminário,Jequitinhonha: Vale do Lítio constituiu-se em ciclos de atividades envolvendo palestras e aulas experimentais,Araçuaí
Seminário,"I Seminário dos parceiros do MAB - Projeto ""Veredas Sol e Lares: uma alternativa para o múltiplo aproveitamento energético em reservatórios e usinas hidrelétricas",Araçuaí
,"na região do Semiárido Mineiro"". Projeto desenvolvido por diversas instituições, entre elas a Associação Estadual de Defesa Social e Ambiental (AEDAS) e o Movimento ",Araçuaí
,dos Atingidos por Barragens (MAB),Araçuaí
Cursos Celin,"Cursos de Inglês Instrumental, Espanhol, Técnicas de Redaçao ",Arinos
Palestra e Mesa Redonda,Dia do Administrador,Arinos
Cursos Curta duração,Curos ofertyador pela EJU da Administração e pelo Grêmio aliunos BSI,Arinos
Seminário,"Simpósio de Administração, Simpósio de Informática e Semana Ciências Agrárias ",Arinos
Consultoria/Assessoria,Serviços de Assessria pela EJU Administração,Arinos
Cursos FIC,Curso Preservação Ambiental,Arinos
Cursos FIC,Curso Técnicas Agrícolas,Arinos
Mostra,1? Mostra TCC Curso Bacharel em Administração,Arinos
Cursos Curta duração,Curso de Técnicas Informática - Professores Rede Estadual,Arinos
Seminário,Dia da Consciência Negra,Arinos
Workshop,IF Mundo,Arinos
Cursos FIC,Curso  Gaia Education | Design para Sustentabilidade,Diamantina
Festival,Gaia Ecologia de Saberes,Diamantina
Seminário,Agenda Positiva par SãoJoão da Chapada - Seminário com a participação da Comunidade e representantes de instituições públicas e privadas,Diamantina
Cursos Fic,Pré-Diamas Trata-se de um projeto de extensão que oferta um curso de  formação/preparação para os candidatos inscritos no ENEM de 2019,Diamantina
Evento esportivo,Este projeto tem como principal motivação a relevância que o esporte tem concebido a humanidade ao logo dos tempos,Diamantina
Mostra,Mostra  teatro 30/11 (100 espectadores) - e 01\12  02/12 (100 espectadores) - Práticas de atuação- 23\08 e 24\08 (intervenções urbanas) (400 espectadores),Diamantina
,"17\09- Casa da Criança Maria Antônia - Contação de Histórias, apresentação resultante da disciplina Poéticas da voz (150 pessoas); dias 26 e 27 \10 - Teatro de Ruas",Diamantina
," apresentação resultante da disciplina ""Corpo cênico"" (130 pessoas de público) - totalizando 1080 pessoas de público.",Diamantina
Espetáculo,Tribo corpo Raiz,Diamantina
Gincana,"Segunda Gincana Solidária: ""A solidariedade nos enriquece""",Diamantina
Expedição e Feira,"Feira de Ciencias e Artes - Feira para mostra de trabalhos de Ciências, inovação, tecnologia e  apresentações artísticas",Diamantina
Cursos Curta duração,Curso Yoga na comunidade,Diamantina
Ciclo de debates,Ciclo de Debates - Evento Pint Of Scienc,Diamantina
Cursos Curta duração,"Cuidados  com o récem nascido; Jogos, cartografia e ensino de geografia; Aprender física pode ser divertido; A matemática dos processos seriados SASI e PAES.",Janaúba
Cursos Curta duração,Química fácil,Janaúba
Cursos Curta duração,Como contribuir em um projeto open source,Janaúba
Cursos Curta duração,Noções introdutória de investimento em criptomoedas,Janaúba
Ciclo de debates,Bate papo com Alana Neves,Janaúba
Palestra e Mesa Redonda,Palestra Evolução das novas tecnologias,Janaúba
Palestra e Mesa Redonda,Palestra Energias Renováveis,Janaúba
Palestra e Mesa Redonda,Mesa Painel do terceiro setor de Janaúba- debate sobre os desafios da gestão de organizações sem fins lucrativos.,Janaúba
Exposição e Feira,Feira de ciências,Janaúba
Espetáculo,Recital de poesia,Janaúba
Oficina,"Prática de Yoga; English pronunciation games; Teatro musical - o ator, dançarino e cantor.",Janaúba
Espetáculo,Show de talentos,Janaúba
Cursos FIC,"Humanidades para ENEM, PAES e SASI; Desde Cero - Español A1; Arriba- Español B1.",Janaúba
Cursos FIC,Projeto Dharma - yoga para todos,
Cursos FIC,Pré IFNMG matemática,
Cursos FIC,Curso FIC - Alternativa alimentação para períodos de seca na para criação animal,Januária
Cursos FIC,Curso FIC - Assistente Financeiro,Januária
Cursos FIC,Curso FIC - Cuidador de Idoso,Januária
Cursos FIC,Curso FIC - Implantação e condução de pomar de frutíferas em pequenas áreas urbanas ou rurais,Januária
Cursos FIC,Curso FIC - Língua Portuguesa para concursos,Januária
Cursos FIC,Curso FIC - Matemática Básica,Januária
Cursos FIC,Curso FIC - Matemática Fundamental (Preparatório para o ensino médio IFNMG),Januária
Cursos FIC,Curso FIC - Português Fundamental (Preparatório para o ensino médio IFNMG),Januária
Cursos FIC,Curso FIC - Práticas de Laboratório para Ensino de Ciências,Januária
Cursos FIC,"Curso FIC - Inglês Básico: Busca, Leitura e Interpretação de textos científicos ",Januária
Cursos FIC CELIN,Curso fic celin- Inglês intermedário,Januária
Cursos FIC,Curso Fic Celin- Espanhol Básico,Januária
Palestra e Mesa Redonda,"ARDUINO DAY - Palestra 1- "" Movimento  Maker""  ",Januária
Palestra e Mesa Redonda,"ARDUINO DAY - Palestra 2- "" Mundo 4.0",Januária
Palestra e Mesa Redonda,Aulão de redação para o ENEM,Januária
Palestra e Mesa Redonda,"Dia do Administrador - Palestra 1- Qualidade de Vida -""Felicidade""",Januária
Palestra e Mesa Redonda,Diálogos da docência: O IF Como espaço de Formação Docente,Januária
Palestra e Mesa Redonda,O IFNMG- Campus Januária: Uma história de muitas histórias,Januária
Palestra e Mesa Redonda,Roda de conversa com os empreendedores locais (Empresário Márcílio de Andrade),Januária
Palestra e Mesa Redonda,Roda de conversa com os empreendedores locais (Empresário Paulo Renato Marinho),Januária
Palestra e Mesa Redonda,Semana unificada da Enfermagem - Palestra 1: Ressignificando o sujeito na pespectiva das relações de gênero nos cuidados de enfermagem.,Januária
Palestra e Mesa Redonda,Semana unificada da Enfermagem - Palestra 2:  A importância das anotações de enfermagem e da ética no cuidado,Januária
Palestra e Mesa Redonda,Semana unificada da Enfermagem - Palestra 3:  A enfermagem na valorização a vida,Januária
Palestra e Mesa Redonda,Semana unificada da Enfermagem - Palestra 4: A  importância da imagem profissional para uma carreira de sucesso,Januária
Palestra e Mesa Redonda,I Semana de experiência do núcleo de atendimento às pessoas com necessidades específicas ( I SENAPNE) Palestra 1: Flexibilização Curricular,Januária
Palestra e Mesa Redonda,I  Semana de experiência do núcleo de atendimento às pessoas com necessidades específicas ( I SENAPNE) Palestra 2: Flexibilização Curricular,Januária
Palestra e Mesa Redonda,I Semana de experiência do núcleo de atendimento às pessoas com necessidades específicas ( I SENAPNE) Palestra 3: Atendimento ao estudante com deficiência  Auditiva,Januária
Palestra e Mesa Redonda,I Senapne - Palestra  4: Atendimento ao estudante com deficiência  visual,Januária
Palestra e Mesa Redonda,XII Simpósio de Administração - Palestra 1:  Inteligencia Emocional para empreender cvom sucesso,Januária
Palestra e Mesa Redonda,XI Simpósio de Administração  - Palestra 2: Eu não vou roubar sua ideia,Januária
Palestra e Mesa Redonda,XII Simpósio de Administração - Palestra 3: Empreendedorismo na vida e na carreira,Januária
Palestra e Mesa Redonda,XII Simpósio de Administração - Palestra 1:  Inteligencia Emocional para empreender cvom sucesso,Januária
Seminário,I Semana de experiência do núcleo de atendimento às pessoas com necessidades específicas ( I SENAPNE),Januária
Mostra,"Demostração técnica de pesquisa - "" Produção de alface em resposta a adubação complementar utilizando urina de vaca",Januária
Mostra,"Demostração técnica de pesquisa - "" Produção de milho variedade  denominada str - vázea (brs--106) em sistema orgânico",Januária
Oficina,Atendimento ao estudante com deficiência Auditiva,Januária
Oficina,Atendimento ao estudante com deficiência visual,Januária
Oficina,"Práticas de privação dos sentidos- "" casa sensorial""",Januária
Oficina,"Organização de "" Desfile  de modas inclusivo"" ",Januária
Evento esportivo,Jogos interclasse,Januária
Seminário,Seminário de turismo do IFNMG campus Pirapora,Pirapora
Oficina,"Consumo de energia elétrica, como gastar menos?",Pirapora
Consultoria/Assessoria,Ação social- bazar beneficente em prol da ascarpi,Pirapora
